serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
259,Ramjan Bhilubhai Mansuri,9032,IND,0,10th Pass,52,0,0,0,
260,Ranjanben Bhatt,8506,BJP,0,12th Pass,56,"2,94,26,428",2 Crore,0,
261,Rank Jigneshbhai,9420,IND,0,8th Pass,27,"4,05,000",4 Lacs,0,
262,Ratansinh Rathod,8505,BJP,0,Graduate Professional,59,"1,02,60,663",1 Crore,"10,81,611",10 Lacs
263,Rathava Furkanbhai Baljibhai,7710,BSP,0,Literate,48,"8,80,000",8 Lacs,"5,00,000",5 Lacs
264,Rathava Ranjitsinh Mohansinh,7709,INC,0,Graduate,53,"3,47,21,898",3 Crore,"37,69,537",37 Lacs
265,Rathod Anandbhai Pachanbhai,8796,IND,0,Graduate,37,"3,57,269",3 Lacs,0,
266,Rathod Ashokbhai Vithathalbhai,11252,IND,0,8th Pass,51,"42,11,000",42 Lacs,0,
267,Rathod Bhogilal Jenabhai,9360,Bahujan Mukti Party,0,Graduate Professional,47,"6,50,000",6 Lacs,0,
268,Rathod Dayabhai,9424,IND,0,12th Pass,54,"42,616",42 Thou,0,
269,Rathod Dipsinh Shankarsinh,8581,BJP,0,8th Pass,67,0,0,0,
270,Rathod Govindbhai Bhikhabhai,9319,IND,0,8th Pass,35,"1,90,543",1 Lacs,0,
271,Rathod Gulabsinh Dursinh,9323,IND,0,10th Pass,28,"43,47,000",43 Lacs,"1,45,000",1 Lacs
272,Rathod Nathabhai Vasharambhai,9299,Vyavastha Parivartan Party,0,8th Pass,69,"38,25,000",38 Lacs,0,
273,Rathod Valjibhai Becharbhai,9960,IND,3,Literate,44,"9,59,500",9 Lacs,0,
274,Rathod Vijaysinh,8992,Hindusthan Nirman Dal,0,Graduate,44,"18,11,000",18 Lacs,"2,00,000",2 Lacs
275,Rathva Bhavsingbhai Namarsingbhai,9005,IND,1,5th Pass,40,"3,00,000",3 Lacs,0,
276,Rathva Gitaben Vajesingbhai,8507,BJP,0,12th Pass,47,"86,34,660",86 Lacs,0,
277,Rathva Maganbhai Chathiyabhai,9003,IND,0,Others,62,"14,75,000",14 Lacs,0,
278,Raval Rajubhai Punjabhai,9956,IND,0,10th Pass,38,"5,90,918",5 Lacs,0,
279,Reshma Patel,9410,IND,0,12th Pass,34,0,0,0,
280,Rita Captain,8802,Pyramid Party of India,0,Graduate,52,"1,00,000",1 Lacs,0,
281,Riyaz Suriya,9416,IND,8,8th Pass,37,"4,10,000",4 Lacs,0,
282,Rohit Madhusudan Mohanbhai,8001,BSP,0,Graduate,53,"90,24,000",90 Lacs,"50,000",50 Thou
283,Sabbirbhai Patel,9008,Apna Desh Party,0,5th Pass,64,"2,40,000",2 Lacs,0,
284,Sachin Kinra,9023,Rashtriya Nav Nirman Bharat Party,0,12th Pass,37,"1,37,58,802",1 Crore,"22,80,942",22 Lacs
285,Sahdevsinh Chudasama,9426,IND,1,Graduate,44,"67,00,100",67 Lacs,"11,65,000",11 Lacs
286,Saiyad Mehmud Ahmad,9025,IND,0,10th Pass,61,"2,58,400",2 Lacs,0,
287,Salimbhai Shahbudinbhai Pathan,10054,IND,0,8th Pass,32,"17,25,000",17 Lacs,0,
288,Sama Yusuf,9441,IND,1,8th Pass,52,"3,66,000",3 Lacs,0,
289,Samirbhai Rajeshbhai Upadhyay,9375,Manvadhikar National Party,0,8th Pass,37,0,0,0,
290,Sanghani Mustakbhai Jamalbhai,9958,IND,2,10th Pass,52,"46,35,500",46 Lacs,"1,16,000",1 Lacs
291,Santolkumar Patel,8983,IND,0,10th Pass,40,"62,16,107",62 Lacs,"12,23,545",12 Lacs
292,Santosh S. Solanki,10344,Bhartiya Manavadhikaar Federal Party,0,Post Graduate,30,"8,47,232",8 Lacs,"81,774",81 Thou
293,Sapariya Vijaykumar Mansukhbhai,11163,IND,0,8th Pass,38,"29,68,835",29 Lacs,0,
294,Sapra Vipul R.,10055,IND,0,10th Pass,36,"1,73,500",1 Lacs,0,
295,Sardarkhan Malek,10053,IND,0,8th Pass,40,"3,06,000",3 Lacs,0,
296,Shaikh Javeed Ahemad,9043,IND,1,Illiterate,35,"2,50,000",2 Lacs,0,
297,Shaikh Kalim,8398,BSP,0,12th Pass,52,"1,25,000",1 Lacs,0,
298,Shaikh Saeed Inayat,9042,IND,0,10th Pass,25,"2,10,000",2 Lacs,0,
299,Shardaben Anilbhai Patel,9330,BJP,0,12th Pass,71,0,0,"74,77,793",74 Lacs
300,Sharma Brijeshkumar Ujagarlal,10034,IND,0,Graduate,38,"26,800",26 Thou,0,
301,Sharma Rajmal Mohanlal,9040,Svatantra Bharat Satyagrah Party,0,8th Pass,37,"3,89,183",3 Lacs,0,
302,Shekh Hamid Ramjan,9038,IND,1,Literate,57,"75,000",75 Thou,0,
303,Shekh Salmabanu Mohamad Salim,10035,IND,0,8th Pass,33,"1,40,000",1 Lacs,0,
304,Shekh Shahinbanu Molana Mustak,9961,IND,0,5th Pass,35,"7,53,000",7 Lacs,"32,000",32 Thou
305,Shenmare Vijaybhai Namdeo,8005,CPI,0,Graduate Professional,64,"98,68,237",98 Lacs,0,
306,Sherkhan Pathan,9017,INC,3,12th Pass,37,"33,43,699",33 Lacs,0,
307,Shri Patel Kalidas Motibhai,8786,IND,0,Others,65,"1,49,94,000",1 Crore,0,
308,Sindha Kiritsinh,9010,IND,0,5th Pass,40,"10,35,000",10 Lacs,0,
309,Sindhi Mahebubkhan Yusufkhan,8785,IND,0,Graduate Professional,44,0,0,0,
310,Singh Vineeta,8578,BSP,0,Post Graduate,38,"58,84,818",58 Lacs,0,
311,Sitapara Sagarbhai Bhurabhai,9454,IND,0,Literate,41,"7,05,104",7 Lacs,0,
312,Sohilkhaa Hashimkhaa Pathan,9041,IND,0,5th Pass,33,"2,50,000",2 Lacs,0,
313,Solanki Chiragbhai Somabhai,9393,Jan Satya Path Party,0,Graduate Professional,59,"4,47,440",4 Lacs,0,
314,Solanki Maganbhai Lakhabhai,9336,IND,1,8th Pass,53,"32,80,559",32 Lacs,"5,00,000",5 Lacs
315,Solanki Shaileshbhai Nagarbhai,8492,BSP,0,Graduate Professional,35,"45,36,170",45 Lacs,"11,31,656",11 Lacs
316,Sondarva Ashok,9414,IND,0,Graduate Professional,52,"24,92,936",24 Lacs,"7,75,000",7 Lacs
317,Sondarva Baluben Maheshbhai,8970,Rashtriya Power Party,0,8th Pass,47,"8,31,660",8 Lacs,0,
318,Sondarva Bharatbhai Kanjibhai,9452,Sardar Vallabhbhai Patel Party,0,8th Pass,40,"17,50,000",17 Lacs,"1,50,000",1 Lacs
319,Sukhdev Vasava,9011,Bahujan Mukti Party,0,8th Pass,37,0,0,0,
320,Sukhdiya Nathabhai,9048,IND,1,5th Pass,44,"88,54,262",88 Lacs,"2,10,444",2 Lacs
321,Sumbhania Aamin,9442,IND,0,Illiterate,37,"65,000",65 Thou,0,
322,Sureshbhai Motiyabhai Chaudhari,10354,IND,0,Graduate Professional,61,"56,15,000",56 Lacs,"35,000",35 Thou
323,Surwade Santosh Avdhut,8801,IND,0,8th Pass,36,"3,58,527",3 Lacs,0,
324,Tapanbhai Dasgupta,8781,SUCI(C),0,Graduate,54,"11,79,289",11 Lacs,0,
325,Tejabhai Nethibhai Rabari,9291,BSP,1,Literate,49,"79,85,000",79 Lacs,"18,00,000",18 Lacs
326,Thakor Bipinkumar Shankarji,9333,IND,0,12th Pass,32,"1,29,615",1 Lacs,0,
327,Thakor Jagdishbhai,8485,INC,0,10th Pass,62,"2,21,36,618",2 Crore,0,
328,Thakor Jaguji Kuvarji,9396,Vyavastha Parivartan Party,0,12th Pass,40,"25,05,000",25 Lacs,0,
329,Thakor Jayantiji Chunthaji,9324,IND,0,12th Pass,36,0,0,0,
330,Thakor Mayurkumar Rupsangji,9329,IND,0,12th Pass,28,"34,34,199",34 Lacs,"2,20,000",2 Lacs
331,Thakor Melaji Madarsinh,9295,Garvi Gujarat Party,0,8th Pass,32,"2,82,029",2 Lacs,0,
