serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
18,Annapurna Devi,11368,BJP,0,Post Graduate,50,"9,76,36,939",9 Crore,"31,89,066",31 Lacs
19,Anup Kumar Sinha,14090,IND,0,Graduate,43,0,0,0,
20,Arjun Kumar,10222,CPI,2,10th Pass,40,"45,18,000",45 Lacs,"90,000",90 Thou
21,Arjun Munda,11362,BJP,0,12th Pass,50,"9,15,07,865",9 Crore,"2,71,06,434",2 Crore
22,Arjun Pujhar,13004,AITC,0,10th Pass,44,"15,66,773",15 Lacs,"8,000",8 Thou
23,Arun Kumar Yadav,10223,IND,1,Graduate,51,"47,65,200",47 Lacs,0,
24,Asha Makede,14086,Pichhara Samaj Party United,0,Doctorate,49,"10,000",10 Thou,0,
25,Ashraf Hussain,12220,BSP,0,12th Pass,39,"5,05,30,000",5 Crore,"1,20,00,000",1 Crore
26,Ashutosh Kumar,10224,Purvanchal Janta Party (Secular),0,10th Pass,25,"74,80,000",74 Lacs,0,
27,Asit Kumar Singh,13346,IND,0,Graduate Professional,49,"24,94,948",24 Lacs,0,
28,Asjadullah Imran,12906,Bharat Prabhat Party,1,12th Pass,49,"28,69,628",28 Lacs,0,
29,Avadhesh Kumar Singh,11365,Vishva SHakti Party,0,Graduate Professional,46,0,0,0,
30,Ayub Kha,10225,IND,0,10th Pass,51,"15,56,148",15 Lacs,"40,000",40 Thou
31,Baban Bhuiya,10280,Jai Prakash Janata Dal,0,12th Pass,31,"2,00,426",2 Lacs,0,
32,Babu Lal Marandi,11364,Jharkhand Vikas Morcha (Prajatantrik),10,Graduate,61,"1,09,51,372",1 Crore,0,
33,Bagendra Ram,10226,IND,0,8th Pass,34,"10,33,000",10 Lacs,0,
34,Baghrai Soren,13000,IND,0,Graduate Professional,64,"6,60,000",6 Lacs,0,
35,Baidhnath Pahadiya,14101,BSP,0,8th Pass,31,"18,54,160",18 Lacs,0,
36,Bajrangi Mahtha,14088,Bahujan Mukti Party,9,12th Pass,34,"37,87,466",37 Lacs,0,
37,Balkesh Prasad Paswan,10281,Ambedkar National Congress,0,10th Pass,54,"1,11,00,511",1 Crore,"5,00,000",5 Lacs
38,Bamapada Bauri,12898,IND,1,Post Graduate,58,"30,52,000",30 Lacs,0,
39,Barnad Hembrom,14102,IND,0,Graduate Professional,56,0,0,0,
40,Bayas Kumar,11667,Moolniwasi Samaj Party,1,Graduate,28,"11,56,819",11 Lacs,"50,000",50 Thou
41,Bhagalpuri Yadav,10227,IND,0,Literate,37,"39,37,000",39 Lacs,"75,000",75 Thou
42,Bhawesh Kumar Mishra,11954,Bharatiya Jan Kranti Dal (Democratic),1,Graduate,43,"2,90,000",2 Lacs,0,
43,Bhubaneshwar Prasad Mehta,11664,CPI,1,12th Pass,73,"3,89,58,977",3 Crore,0,
44,Bidyadhar Prasad,11382,BSP,0,Post Graduate,36,"1,94,25,000",1 Crore,0,
45,Bidyut Baran Mahato,12222,BJP,3,12th Pass,56,"2,77,50,671",2 Crore,"29,61,830",29 Lacs
46,Birendra Kumar,14095,IND,1,Post Graduate,36,"4,10,031",4 Lacs,0,
47,Champai Soren,12909,JMM,1,10th Pass,62,"2,28,22,491",2 Crore,"76,50,059",76 Lacs
48,Chandra Deo Prasad,12884,Aihra National Party,0,Post Graduate,37,"21,02,000",21 Lacs,0,
49,Chandra Mohan Hembrom,12224,SUCI(C),0,Post Graduate,35,0,0,0,
50,Chandra Prakash Choudhary,12882,AJSU Party,2,Graduate,50,"1,34,56,889",1 Crore,"13,30,000",13 Lacs
51,Chandra Shekhar Mahato,12912,Peoples Party of India (Democratic),0,Post Graduate,47,"32,48,346",32 Lacs,"17,209",17 Thou
52,Christopher Murmu,14103,IND,0,12th Pass,30,"86,000",86 Thou,0,
53,Dayanand Kumar,11669,Janata Congress,0,12th Pass,39,"23,12,284",23 Lacs,"4,00,000",4 Lacs
54,Deepak Kumar Das,12209,Peoples Party of India (Democratic),0,12th Pass,35,"14,77,000",14 Lacs,0,
55,Deepak Kumar Giri,13348,IND,0,12th Pass,37,"1,26,000",1 Lacs,"25,000",25 Thou
56,Deo Kumar Dhan,10256,Jharkhand Party,1,Graduate,53,"2,26,79,920",2 Crore,"24,00,000",24 Lacs
57,Dhananjay Kumar,10229,IND,0,10th Pass,35,"6,70,000",6 Lacs,0,
58,Dinesh Mahato,13347,IND,2,12th Pass,46,"58,71,513",58 Lacs,"29,500",29 Thou
59,Dinesh Oraon,10257,AITC,0,12th Pass,26,0,0,"8,00,000",8 Lacs
60,Dinesh Ram,10284,IND,1,10th Pass,40,"17,50,038",17 Lacs,0,
61,Dr. Shrilal Kisku,13951,IND,0,Graduate Professional,60,"30,10,115",30 Lacs,0,
62,Duleshwar Saw,10230,IND,0,8th Pass,40,"1,31,93,000",1 Crore,"20,00,000",20 Lacs
63,Dwaraka Prasad Lala,12886,RPI(A),1,10th Pass,68,"96,41,678",96 Lacs,"4,03,300",4 Lacs
64,Ekus Dhan,10258,IND,0,Graduate,65,"20,66,713",20 Lacs,0,
65,Gautam Kumar,11662,IND,1,Graduate,29,"44,20,000",44 Lacs,"3,95,000",3 Lacs
66,Geeta Kora,12225,INC,1,Post Graduate,35,"2,52,49,018",2 Crore,"19,28,508",19 Lacs
67,Ghuran Ram,10285,RJD,5,Graduate,51,"1,52,27,170",1 Crore,"7,93,697",7 Lacs
68,Gopal Prasad Sahu,11663,INC,0,Graduate,74,"34,61,74,281",34 Crore,"2,18,67,709",2 Crore
69,Gopin Soren,12992,CPI(M),0,Graduate,56,0,0,"10,000",10 Thou
70,Hari Orawn,12881,Kalinga Sena,2,Graduate,46,"25,52,400",25 Lacs,"11,10,385",11 Lacs
71,Heera Lal Shankhvar,12897,AIFB,0,Post Graduate,69,"91,36,000",91 Lacs,"25,000",25 Thou
72,Hemlal Murmu,12993,BJP,0,Graduate,63,"5,69,91,946",5 Crore,"1,75,88,570",1 Crore
73,Indumati Mundu,11170,BSP,0,Graduate,50,"13,23,000",13 Lacs,"1,50,000",1 Lacs
74,Jagarnath Mahto,12212,JMM,3,10th Pass,52,"1,95,70,591",1 Crore,"81,56,343",81 Lacs
