serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
576,Priya Singh Paul Alias Priyadarshini Gandhi,13467,Pragatishil Samajwadi Party (Lohia),0,Post Graduate,50,"1,82,58,000",1 Crore,0,
577,Puja Pandey,12919,Pragatishil Samajwadi Party (Lohia),0,12th Pass,33,"2,30,000",2 Lacs,0,
578,Purushottam Das (Fauzi Bhai),7143,IND,0,Graduate,59,"39,51,427",39 Lacs,0,
579,Purvi Verma,9727,SP,0,Post Graduate,29,0,0,0,
580,Pyare Lal Bhargav,11504,IND,0,12th Pass,56,"29,35,267",29 Lacs,0,
581,Qaiser Jahan,11074,INC,1,8th Pass,45,"1,25,60,808",1 Crore,"42,84,514",42 Lacs
582,"Qutubuddin Khan ""Dimond""",11439,Pragatishil Samajwadi Party (Lohia),0,12th Pass,45,"12,48,44,329",12 Crore,"3,95,24,800",3 Crore
583,R S Kushwaha,12918,BSP,0,Others,62,"11,52,46,002",11 Crore,"2,65,057",2 Lacs
584,R.K. Chaudhary,11478,INC,0,Graduate Professional,60,"91,85,305",91 Lacs,0,
585,R.K. Singh Patel,11041,BJP,2,Graduate,59,"5,57,94,086",5 Crore,0,
586,Rabindra Kumar Srivastava,13479,IND,0,Graduate Professional,48,"4,34,127",4 Lacs,0,
587,Rabiya Akhtar,8328,Khusro Sena Party,1,Literate,40,"77,35,000",77 Lacs,0,
588,Radha Devi,11472,Peoples Party of India (Democratic),0,8th Pass,57,"4,08,23,586",4 Crore,"31,85,660",31 Lacs
589,Radheshyam Gautam,12565,Rashtriya Ulama Council,0,8th Pass,40,0,0,0,
590,Radheshyam Inshan,13896,Bhartiya Republican Party (Insan),0,8th Pass,64,"5,86,200",5 Lacs,0,
591,Radheyshyam,11853,Suheldev Bhartiya Samaj Party,0,8th Pass,33,"9,28,690",9 Lacs,"90,000",90 Thou
592,Radhika Devi,7107,IND,0,Doctorate,43,"1,83,37,750",1 Crore,"88,30,049",88 Lacs
593,Raghav Lakhanpal,6077,BJP,2,Post Graduate,44,"4,75,43,994",4 Crore,0,
594,Raghuvendra Kumar,6333,Subhashwadi Bhartiya Samajwadi Party,0,Post Graduate,48,"47,68,026",47 Lacs,"32,00,000",32 Lacs
595,Raheesh Miyan,8330,VANCHITSAMAJ INSAAF PARTY,0,Literate,64,"20,75,047",20 Lacs,0,
596,Rahul Gandhi,11034,INC,6,Post Graduate,48,"15,88,77,063",15 Crore,"72,01,904",72 Lacs
597,Rahul Kumar,11259,IND,0,Post Graduate,29,"6,13,256",6 Lacs,0,
598,Rahul Kumar,9719,Bhartiya Krishak Dal,0,Graduate,27,"2,96,000",2 Lacs,0,
599,Raj Babbar,5528,INC,4,Graduate,68,0,0,"1,22,94,927",1 Crore
600,Raj Kishor Singh,12363,INC,0,Graduate,50,"5,28,12,489",5 Crore,0,
601,Raj Nath,13508,Suheldev Bhartiya Samaj Party,0,Post Graduate,70,"44,41,330",44 Lacs,0,
602,Raja,7135,Rashtriya Vyapari Party,0,8th Pass,30,"9,48,885",9 Lacs,0,
603,Raja Bhartendra Singh,6104,BJP,3,Graduate,55,"4,98,67,061",4 Crore,0,
604,Raja Khateek,9763,IND,2,Graduate,29,"6,47,000",6 Lacs,0,
605,Rajaram,13900,Suheldev Bhartiya Samaj Party,0,10th Pass,54,"63,10,007",63 Lacs,0,
606,Rajaram,7120,Lok Dal,0,Graduate,65,"7,94,348",7 Lacs,0,
607,Rajaram Gond,13625,IND,0,8th Pass,64,"25,95,000",25 Lacs,0,
608,Rajaram Pal,9646,INC,1,Graduate Professional,58,"1,90,97,262",1 Crore,"86,00,000",86 Lacs
609,Rajat Kumar,8348,Bhartiya Jan Nayak Party,1,Graduate Professional,28,0,0,0,
610,Rajbahadur Urf Rajan Pandey,11422,IND,0,12th Pass,45,"2,83,66,730",2 Crore,"5,00,000",5 Lacs
611,Rajdev,11455,Pragatishil Samajwadi Party (Lohia),0,Post Graduate,63,"1,24,59,352",1 Crore,0,
612,Rajendra Agarwal,6134,BJP,3,Post Graduate,68,"1,34,89,377",1 Crore,"19,90,094",19 Lacs
