serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
441,Ravi Raj,13070,Pragatishil Samajwadi Party (Lohia),0,Post Graduate,40,"69,57,512",69 Lacs,"28,00,000",28 Lacs
442,Ravi Shankar Prasad,13050,BJP,0,Post Graduate,64,"23,52,75,591",23 Crore,0,
443,Ravindra Kumar Chandra Urf Dr. Raja Babu,12691,Bhartiya Mitra Party,0,Graduate Professional,35,"5,200",5 Thou,"1,90,000",1 Lacs
444,Rekha Kumari,14150,Purvanchal Mahapanchayat,0,12th Pass,34,"2,66,31,500",2 Crore,0,
445,Rekha Ranjan Yadav,12574,RPI(A),0,10th Pass,30,"41,71,200",41 Lacs,0,
446,Renu Khari,12579,Jan Adhikar Party,0,Post Graduate,57,"62,70,738",62 Lacs,0,
447,Reshami Devi,12847,Bajjikanchal Vikas Party,0,Literate,46,"4,63,500",4 Lacs,0,
448,Rinku Devi1,12863,IND,0,8th Pass,37,"2,43,300",2 Lacs,0,
449,Rita Devi,14171,Vikassheel Insaan Party,0,Literate,39,0,0,0,
450,Ritesh Prasad,11092,IND,0,12th Pass,45,"60,80,000",60 Lacs,0,
451,Rohit Kumar Yadav,12807,Sanyukt Vikas Party,0,8th Pass,26,"13,70,000",13 Lacs,0,
452,Sachin Paswan,12093,Rashtriya Hind Sena,1,8th Pass,34,"25,97,200",25 Lacs,0,
453,Sageer Ahmad,5970,IND,0,Others,29,"4,58,449",4 Lacs,0,
454,Saguni Ray,9792,IND,0,Literate,58,"5,74,658",5 Lacs,0,
455,Samir Kumar Jha,7016,IND,0,12th Pass,41,"2,51,06,000",2 Crore,"57,83,943",57 Lacs
456,Sampati Kumar,13045,Suheldev Bhartiya Samaj Party,0,12th Pass,36,"2,17,50,000",2 Crore,"10,00,000",10 Lacs
457,Sandeep Kumar Singh,9197,IND,0,Graduate,41,"6,08,08,000",6 Crore,0,
458,Sandip Kumar Saket,8150,SHS,0,Graduate,37,"80,91,400",80 Lacs,0,
459,Sangram Kumar Sada,9521,IND,0,Graduate,37,0,0,0,
460,Sanjay Bhartia,7782,IND,0,Post Graduate,31,"11,65,326",11 Lacs,0,
461,Sanjay Kesari,10157,SHS,3,Graduate,44,"9,13,169",9 Lacs,"28,000",28 Thou
462,Sanjay Kumar Patel,12790,IND,1,10th Pass,39,"9,48,960",9 Lacs,"71,325",71 Thou
463,Sanjay Paswan,9793,IND,1,10th Pass,45,"4,64,226",4 Lacs,0,
464,Sanjay Prajapati,12108,IND,1,Others,33,"68,22,000",68 Lacs,0,
465,Sanjay Sardar,8172,Lok Sewa Dal,0,Literate,40,"87,15,000",87 Lacs,"6,50,000",6 Lacs
466,Sanjeet Kumar,14152,Jantantrik Vikas Party,0,Post Graduate,38,"2,20,30,093",2 Crore,"7,88,813",7 Lacs
467,Sanjeet Kumar Chaudhary,7630,Aam Janta Party Rashtriya,0,10th Pass,41,"21,24,233",21 Lacs,0,
468,Sanjiv Kumar Kunal,5999,IND,0,Graduate,25,0,0,0,
469,Sanoj Kumar Chauhan,5964,Bihar Lok Nirman Dal,0,Graduate Professional,40,0,0,"2,63,815",2 Lacs
470,Santosh Kumar,10166,Bahujan Mukti Party,0,12th Pass,32,"2,11,000",2 Lacs,0,
471,Santosh Kumar,4956,JD(U),1,12th Pass,42,"4,10,36,294",4 Crore,"25,00,000",25 Lacs
472,Santosh Kumar Sinha,4611,IND,0,Graduate,43,"12,75,000",12 Lacs,0,
473,Santosh Kumar Yadav,13072,Bahujan Mukti Party,1,12th Pass,46,"34,08,807",34 Lacs,"7,20,000",7 Lacs
474,Sarfaraz Alam,7014,RJD,6,Graduate,50,"7,66,18,366",7 Crore,"85,66,199",85 Lacs
475,Saroj Kumar Chaudhary,9772,Mithilanchal Mukti Morcha,3,10th Pass,42,"34,52,000",34 Lacs,0,
476,Satish Chandra Jha,11644,Purvanchal Janta Party (Secular),1,Post Graduate,51,"1,42,52,124",1 Crore,"13,27,234",13 Lacs
477,Satish Kumar,13058,Bharatiya Momin Front,0,Graduate,51,"51,500",51 Thou,0,
478,Satish Kumar Mishra,12856,Rashtriya Jansambhavna Party,0,12th Pass,37,"55,70,000",55 Lacs,0,
