Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Candidate∇ Link
523,Ravinder Singh,SANGAM VIHAR,Republican Sena,0,Post Graduate,"Rs 31,543~ 31 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=161
524,Ravinder Singh Negi,PATPARGANJ,BJP,0,Graduate,"Rs 1,78,40,741~ 1 Crore+","Rs 16,08,350~ 16 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=334
525,Ravinder Singh Rawat,NEW DELHI,Haryana Jansena Party,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=686
526,Ravindra Singh Raviyodaya,JANGPURA,BSP,0,Graduate,"Rs 58,37,208~ 58 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=755
527,Rekha Gupta,SHALIMAR BAGH,BJP,0,Graduate Professional,"Rs 5,31,34,981~ 5 Crore+","Rs 1,20,33,720~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=118
528,Rekha Singh,TUGHLAKABAD,IND,0,Illiterate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=384
529,Richa Kumari,CHHATARPUR,Republican Sena,0,Post Graduate,"Rs 9,60,000~ 9 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=85
530,Rina Devi,SHALIMAR BAGH,IND,0,5th Pass,"Rs 65,252~ 65 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=590
531,Rizwana Khatoon,OKHLA,SUCI(C),0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=328
532,Rohit,NAJAFGARH,BSP,0,Graduate,"Rs 2,87,500~ 2 Lacs+","Rs 18,00,000~ 18 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=305
533,Rohit Choudhary,NANGLOI JAT,INC,1,Graduate Professional,"Rs 2,30,95,564~ 2 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=156
534,Rohit Kashyap,MADIPUR,Hamara Sahi Vikalp Party,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=543
535,Rohtash Kumar,TUGHLAKABAD,BJP,0,Post Graduate,"Rs 5,42,18,749~ 5 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=387
536,Roman Rashid,MODEL TOWN,IND,0,12th Pass,"Rs 3,16,492~ 3 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=724
537,Roop Singh Ahirwar,MADIPUR,BSP,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=15
538,S. M. Aqif,SEELAM PUR,IND,0,Graduate,"Rs 66,730~ 66 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=796
539,Sabir Khan,HARI NAGAR,IND,0,10th Pass,"Rs 53,398~ 53 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=496
540,Sachin,DELHI CANTT,Bharatiya Sampuran Krantikari Party,0,5th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=253
541,Sadre Alam,MOTI NAGAR,IND,0,Illiterate,"Rs 85,582~ 85 Thou+","Rs 1,90,294~ 1 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=205
542,Sagar Tanha,MUSTAFABAD,Peace Party,0,5th Pass,"Rs 20,000~ 20 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=100
543,Sahi Ram,TUGHLAKABAD,AAP,2,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=122
544,Sanaullah,MOTI NAGAR,NCP,0,Graduate,"Rs 4,42,832~ 4 Lacs+","Rs 80,632~ 80 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=721
545,Sandeep Dikshit,NEW DELHI,INC,0,Post Graduate,"Rs 11,13,81,677~ 11 Crore+","Rs 76,92,127~ 76 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=320
546,Sandeep Sehrawat,MATIALA,BJP,2,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=292
547,Sandhiya Tiwari,KARAWAL NAGAR,Akhil Bharatiya Socialist Party,0,8th Pass,"Rs 11,17,000~ 11 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=515
548,Sangeeta,SULTAN PUR MAJRA,Rashtriya Lok Sevak Party,0,5th Pass,"Rs 40,07,342~ 40 Lacs+","Rs 3,00,000~ 3 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=583
549,Sangh Mitra,KALKAJI,Bhim Sena,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=506
550,Sangh Priya Siddhartha,TIMARPUR,Bhim Sena,0,12th Pass,"Rs 10,000~ 10 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=573
551,Sangha Nand Bauddh,NEW DELHI,Bhim Sena,0,Graduate,"Rs 10,000~ 10 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=321
552,Sanjay,KALKAJI,IND,0,Illiterate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=505
553,Sanjay Goyal,SHAHDARA,BJP,0,Graduate Professional,"Rs 54,47,44,218~ 54 Crore+","Rs 6,49,03,000~ 6 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=601
554,Sanjay Mishra (Sitaram),KARAWAL NAGAR,NCP,0,10th Pass,"Rs 63,43,543~ 63 Lacs+","Rs 8,50,000~ 8 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=511
555,Sanjay Negi,CHHATARPUR,IND,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=251
556,Sanjay Rawat,NEW DELHI,IND,0,Graduate,"Rs 1,54,07,106~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=318
557,Sanjay Yadav Advocate,ADARSH NAGAR,Peoples Party of India (Democratic),0,Post Graduate,"Rs 83,63,378~ 83 Lacs+","Rs 2,98,286~ 2 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=430
558,Sanjaya Kumar Yadav,MUNDKA,Right to Recall Party,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=5
559,Sanjeev Jha,BURARI,AAP,2,Graduate,"Rs 14,47,331~ 14 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=173
560,Sanjeev Kumar,ROHTAS NAGAR,Jan Samuh Party,0,12th Pass,"Rs 3,81,000~ 3 Lacs+","Rs 80,000~ 80 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=160
561,Sanjeev Kumar Rana,ADARSH NAGAR,CPI,0,Others,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=429
562,Santosh,MUNDKA,Indian National Socialistic Action Forces,0,8th Pass,"Rs 2,50,000~ 2 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=715
563,Santosh Kumar,NEW DELHI,Right to Recall Party,0,Graduate,"Rs 50,000~ 50 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=315
564,Santosh Rai,NEW DELHI,Abhinav Bharat Party,2,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=679
565,Saravanan,R K PURAM,Rashtriya Manav Party,0,Literate,"Rs 9,99,623~ 9 Lacs+","Rs 1,86,752~ 1 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=654
566,Sarita Singh,ROHTAS NAGAR,AAP,1,Post Graduate,"Rs 7,95,524~ 7 Lacs+","Rs 2,88,000~ 2 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=357
567,Sarita Singh,TRILOKPURI,Akhil Bharatiya Socialist Party,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=382
568,Saroj Bala,SEEMA PURI,Swatantra Jantaraj Party,0,10th Pass,"Rs 72,94,557~ 72 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=803
569,Satender Sharma,TRI NAGAR,INC,0,12th Pass,"Rs 2,00,31,200~ 2 Crore+","Rs 17,15,630~ 17 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=121
570,Satish Jain,CHANDNI CHOWK,BJP,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=70
571,Satish Kumar,OKHLA,BSP,0,8th Pass,"Rs 27,99,437~ 27 Lacs+","Rs 2,98,648~ 2 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=670
572,Satish Kumar Gulliya,GREATER KAILASH,Bhartiya Rashtrawadi Party,0,Graduate Professional,"Rs 1,82,08,040~ 1 Crore+","Rs 4,28,000~ 4 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=195
573,Satish Kumar Luthra,SHAKUR BASTI,INC,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=368
574,Satish Upadhyay,MALVIYA NAGAR,BJP,0,Graduate,"Rs 13,22,51,447~ 13 Crore+","Rs 1,14,51,684~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=141
575,Satpal,SANGAM VIHAR,IND,1,12th Pass,"Rs 21,82,000~ 21 Lacs+","Rs 7,00,000~ 7 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=614
576,Satyendar Jain,SHAKUR BASTI,AAP,14,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=117
577,Saurabh Bharadwaj,GREATER KAILASH,AAP,6,Graduate Professional,"Rs 1,48,09,968~ 1 Crore+","Rs 4,63,803~ 4 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=267
578,Saurabh Gupta,SHALIMAR BAGH,IND,0,Graduate Professional,"Rs 19,69,450~ 19 Lacs+","Rs 16,45,000~ 16 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=164
579,Seema,KARAWAL NAGAR,Peoples Party of India (Democratic),0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=513
580,Sewa Dass,AMBEDKAR NAGAR,BSP,0,Illiterate,"Rs 13,94,000~ 13 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=436
581,Shabana,SEELAM PUR,Rashtriya Republican Party,0,8th Pass,Nil,Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=610
582,Shail Kumari,SADAR BAZAR,BSP,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=620
583,Shailendra Kumar,BURARI,JD(U),0,Graduate,"Rs 23,83,47,615~ 23 Crore+","Rs 8,02,394~ 8 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=407
584,Sharad Kumar,NERELA,AAP,1,10th Pass,"Rs 6,78,78,442~ 6 Crore+","Rs 45,86,897~ 45 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=311
585,Sharda Dixit,VIKASPURI,SUCI(C),0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=71
586,Sharda Singh,MEHRAULI,Right to Recall Party,0,8th Pass,"Rs 70,000~ 70 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=4
587,Shashi Pabha,RAJOURI GARDEN,BSP,0,8th Pass,"Rs 13,42,380~ 13 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=349
588,Sheela Devi,WAZIRPUR,Garib Ekta Party,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=811
589,Sheikh Arsalan Ullah Chishti,OKHLA,IND,0,Graduate,"Rs 30,124~ 30 Thou+","Rs 59,459~ 59 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=322
590,Shejo Varghese,VIKASPURI,CPI,0,12th Pass,"Rs 2,80,941~ 2 Lacs+","Rs 22,353~ 22 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=212
591,Sher Mohammad,OKHLA,Azad Samaj Party,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=327
592,Shifa Ur Rehman Khan,OKHLA,All India Majlis-E-Ittehadul Muslimeen,1,Post Graduate,"Rs 11,63,92,455~ 11 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=671
593,Shikha Roy,GREATER KAILASH,BJP,0,Post Graduate,"Rs 16,13,44,383~ 16 Crore+","Rs 3,05,00,995~ 3 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=413
594,Shiv Kumar,KAROL BAGH,Rashtriya Aikta Manch Party,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=520
595,Shiv Kumar(Kake),BABARPUR,Sarvodaya Prabhat Party,2,8th Pass,"Rs 1,68,000~ 1 Lacs+","Rs 70,000~ 70 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=215
596,Shiv Prasad Verma,RAJINDER NAGAR,BSP,0,8th Pass,"Rs 68,17,622~ 68 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=158
597,Shivank Singal,ADARSH NAGAR,INC,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=126
598,Shivcharan Goel,MOTI NAGAR,AAP,0,12th Pass,"Rs 24,19,86,928~ 24 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=204
599,Shubham,GHONDA,Right to Recall Party,0,Post Graduate,"Rs 50,000~ 50 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=17
600,Shveta Saini,TILAK NAGAR,BJP,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=376
601,Shweta,TILAK NAGAR,IND,0,12th Pass,"Rs 14,40,832~ 14 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=582
602,Shyam Babu,UTTAM NAGAR,Gareeb Aadmi Party,0,12th Pass,"Rs 4,09,72,607~ 4 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=8
603,Shyam Kumar,SHALIMAR BAGH,BSP,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=371
604,Shyam Sharma,HARI NAGAR,BJP,0,10th Pass,"Rs 16,01,14,845~ 16 Crore+","Rs 1,80,08,337~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=133
605,Sirajuddin,SANGAM VIHAR,Aazad Samaj Party (Kanshi Ram),0,12th Pass,"Rs 12,59,349~ 12 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=364
606,Som Dutt,SADAR BAZAR,AAP,1,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=359
607,Som Dutt Sharma,BIJWASAN,IND,0,Post Graduate,"Rs 1,04,57,100~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=240
608,Somnath Bharti,MALVIYA NAGAR,AAP,7,Post Graduate,"Rs 2,23,67,040~ 2 Crore+","Rs 13,39,565~ 13 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=140
