Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Candidate∇ Link
20,Ajay Mahawar,GHONDA,BJP,0,Post Graduate,"Rs 7,71,06,885~ 7 Crore+","Rs 1,38,82,394~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=132
21,Ajay Singh Negi,KARAWAL NAGAR,IND,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=29
22,Ajesh Yadav,BADLI,AAP,0,Graduate,"Rs 9,89,29,035~ 9 Crore+","Rs 3,36,48,882~ 3 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=80
23,Akeshan Dut,ROHTAS NAGAR,Bhartiya Rashtriya Dal,0,Graduate,"Rs 75,100~ 75 Thou+","Rs 50,000~ 50 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=635
24,Akhilesh Pati Tripathi,MODEL TOWN,AAP,10,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=151
25,Akshay Kumar,KONDLI,INC,0,Post Graduate,"Rs 5,14,657~ 5 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=420
26,Ali Mehdi,MUSTAFABAD,INC,1,Graduate Professional,"Rs 3,79,56,382~ 3 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=300
27,Alka Lamba,KALKAJI,INC,1,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=51
28,Altaf Ahmad,JANAKPURI,IND,0,Literate,"Rs 1,35,765~ 1 Lacs+","Rs 1,10,000~ 1 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=498
29,Aman Saini,VIKASPURI,IND,0,12th Pass,"Rs 14,50,000~ 14 Lacs+","Rs 5,50,000~ 5 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=556
30,Amanatullah Khan,OKHLA,AAP,19,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=324
31,Amar Nath,MATIA MAHAL,IND,0,8th Pass,"Rs 85,000~ 85 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=746
32,Amar Singh,KRISHNA NAGAR,BSP,0,10th Pass,"Rs 10,34,282~ 10 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=279
33,Amardeep,TRILOKPURI,INC,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=567
34,Amarjeet Prasad,KONDLI,CPI(ML)(L),0,Post Graduate,"Rs 74,526~ 74 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=529
35,Amit Kumar Sharma,ROHTAS NAGAR,Sanjhi Virasat Party,0,Graduate,"Rs 40,77,538~ 40 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=628
36,Amit Saini,ROHINI,Jan Samuh Party,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=636
37,Amjad Hasan,TUGHLAKABAD,BSP,0,Illiterate,"Rs 3,12,86,377~ 3 Crore+","Rs 17,08,496~ 17 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=386
38,Amrina,BIJWASAN,IND,0,8th Pass,"Rs 72,425~ 72 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=467
39,Andeep Drall,MUNDKA,IND,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=720
40,Anil Bhardwaj,SADAR BAZAR,INC,1,Graduate,"Rs 10,22,34,994~ 10 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=623
41,Anil Jha,KIRARI,AAP,3,Post Graduate,"Rs 4,33,02,165~ 4 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=227
42,Anil Kapoor,BURARI,Janhit Dal,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=472
43,Anil Kumar,PATPARGANJ,INC,7,Graduate Professional,"Rs 3,85,40,745~ 3 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=661
44,Anil Kumar,SEEMA PURI,Aazad Samaj Party (Kanshi Ram),0,10th Pass,"Rs 13,32,350~ 13 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=809
45,Anil Kumar,JANGPURA,Bhartiya Rashtrawadi Party,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=269
46,Anil Kumar,VISHWAS NAGAR,National Youth Party,0,Graduate Professional,"Rs 6,00,588~ 6 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=209
47,Anil Kumar Sharma,R K PURAM,BJP,0,Graduate,"Rs 7,13,00,145~ 7 Crore+","Rs 70,835~ 70 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=342
48,Anil Kumar Sharma (Gaur),SEELAM PUR,BJP,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=181
49,Anil Kumar Singh,NERELA,CPI(ML)(L),0,12th Pass,"Rs 46,23,963~ 46 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=312
